ID,Sales
T1188341,59331.20080927882
T1188342,39959.93993384666
T1188343,77910.14629544286
T1188344,37440.950108475874
T1188345,39704.81266249039
T1188346,121718.95005035313
T1188347,68922.30483007623
T1188348,46899.2989870843
T1188349,53634.21427166184
T1188350,34867.4837120804
T1188351,49253.840070174614
T1188352,48390.295764857845
T1188353,44774.870496340394
T1188354,41054.416424224604
T1188355,48392.12442618045
T1188356,39889.622109275144
T1188357,44408.81039189822
T1188358,22908.763123825433
T1188359,26895.589725106078
T1188360,52831.07358219432
T1188361,35396.511800406064
T1188362,43937.09631174497
T1188363,44887.67326160018
T1188364,33774.82212406616
T1188365,52370.167929366005
T1188366,37835.68409108624
T1188367,40741.57287576253
T1188368,31348.290942478736
T1188369,35790.721456627536
T1188370,44238.73102286579
T1188371,40175.616927144365
T1188372,60118.452215126796
T1188373,38662.14809180601
T1188374,35562.67148872802
T1188375,100785.37084056478
T1188376,72775.64611775933
T1188377,35352.57974440881
T1188378,35484.7518209595
T1188379,31531.494745942247
T1188380,73138.83575005512
T1188381,33821.333846057634
T1188382,33777.671982860935
T1188383,34176.351292076
T1188384,35760.3734454807
T1188385,49699.33021365426
T1188386,43290.95454361946
T1188387,65804.71166647694
T1188388,65279.91134358642
T1188389,30105.565260362495
T1188390,115308.07566570147
T1188391,39531.66035906205
T1188392,53945.479512010555
T1188393,71756.30894235987
T1188394,53575.93645616968
T1188395,40727.50214867363
T1188396,91318.20651285604
T1188397,44719.37609246236
T1188398,50660.60210321446
T1188399,45540.82569040262
T1188400,49870.87275958333
T1188401,34743.54934489576
T1188402,23519.307920437946
T1188403,52593.343098360805
T1188404,31080.10818370248
T1188405,34573.4204478521
T1188406,25042.826995969717
T1188407,57995.66843549665
T1188408,37679.77571298907
T1188409,32385.103521565303
T1188410,24894.04651021002
T1188411,63031.19382432947
T1188412,30435.581619098317
T1188413,37994.00695215742
T1188414,27524.645637838752
T1188415,35649.510099615494
T1188416,53729.44100111421
T1188417,60191.73808742064
T1188418,43583.976121025014
T1188419,52659.582770781315
T1188420,50322.454851144634
T1188421,27787.241458513614
T1188422,56014.008785715254
T1188423,70042.9147328074
T1188424,38492.012607536235
T1188425,36767.74388809907
T1188426,40044.49485946304
T1188427,57507.705479435375
T1188428,35749.30296311011
T1188429,71073.21145530666
T1188430,55942.10692059142
T1188431,43362.29229396777
T1188432,24878.94210824805
T1188433,59128.28861760374
T1188434,37674.57835199812
T1188435,37670.241517885486
T1188436,68985.96109084412
T1188437,59437.94343940072
T1188438,24825.571995358376
T1188439,51445.41197682271
T1188440,41886.93714114627
T1188441,39822.69970808205
T1188442,53492.72254782083
T1188443,44897.18247775428
T1188444,36332.6830066877
T1188445,39554.4639423749
T1188446,32233.622577850947
T1188447,66872.7947308837
T1188448,67743.68727501531
T1188449,45121.31365609168
T1188450,39485.07457673662
T1188451,49842.40564896904
T1188452,24314.632119516966
T1188453,44843.569382389054
T1188454,26681.226354676914
T1188455,76279.46736967326
T1188456,28323.588744485198
T1188457,33428.13751472218
T1188458,35629.634373396475
T1188459,80910.16465351597
T1188460,20971.26320600771
T1188461,46563.82888845364
T1188462,36778.07531282456
T1188463,27326.98645370553
T1188464,62252.047795122366
T1188465,55671.435653400215
T1188466,35770.78115461678
T1188467,28321.79080400492
T1188468,40930.91260382041
T1188469,39616.47484786134
T1188470,24113.343372596577
T1188471,42362.187639274125
T1188472,53171.15596127527
T1188473,46040.80938134412
T1188474,41729.95447890315
T1188475,19165.630106705063
T1188476,50072.025243500204
T1188477,35144.60643190039
T1188478,34744.23536456868
T1188479,22408.98338027896
T1188480,51389.15824943368
T1188481,60554.93744292195
T1188482,54769.169764670616
T1188483,56408.1110236467
T1188484,56747.97578060873
T1188485,27158.08708782226
T1188486,21228.915257985078
T1188487,43629.34089905268
T1188488,44165.16475792966
T1188489,33621.96779588904
T1188490,51540.17551836617
T1188491,47532.99096471281
T1188492,33650.708313911586
T1188493,40763.535688745884
T1188494,57684.95149849297
T1188495,26076.994190205332
T1188496,50131.40748797353
T1188497,30832.121337158238
T1188498,38444.09597883835
T1188499,42831.764257940595
T1188500,59224.83377899761
T1188501,37248.67259591964
T1188502,40023.02624936
T1188503,36594.652026028125
T1188504,34479.66571868535
T1188505,28643.099806762635
T1188506,57341.83774342503
T1188507,43671.616485677056
T1188508,47595.89581321646
T1188509,34885.161298540945
T1188510,39116.19538480934
T1188511,36461.1248132782
T1188512,45777.93407560805
T1188513,23140.955101093223
T1188514,33409.53497102715
T1188515,58777.421987725975
T1188516,35584.82788787175
T1188517,64486.697400672245
T1188518,39759.65718849978
T1188519,48846.39107788011
T1188520,27672.284945140178
T1188521,60064.55171245082
T1188522,42764.07931710132
T1188523,35385.080197903735
T1188524,46839.89839351502
T1188525,64550.97559189555
T1188526,31630.603589810027
T1188527,38938.36977621121
T1188528,37759.57309573347
T1188529,56223.75026132465
T1188530,46309.75827979399
T1188531,53523.76457551368
T1188532,48325.83725714343
T1188533,44768.11409039285
T1188534,42714.14298969194
T1188535,57335.18868751108
T1188536,63213.47426404698
T1188537,95988.56631946948
T1188538,61941.331866531036
T1188539,61892.68266107799
T1188540,41401.40412271984
T1188541,35251.5132668116
T1188542,72175.82401616832
T1188543,44723.850651935805
T1188544,46862.40073553437
T1188545,36633.186319128596
T1188546,30845.14783998162
T1188547,39406.38153697656
T1188548,52125.72387695029
T1188549,33939.235462172175
T1188550,46539.935009933164
T1188551,51740.565231349596
T1188552,20287.29319210157
T1188553,48041.904150907736
T1188554,84838.89646780855
T1188555,36023.23585432606
T1188556,75070.89740437291
T1188557,22654.130803097814
T1188558,36493.628106951015
T1188559,43757.03504575814
T1188560,45431.62045208295
T1188561,50330.46176084642
T1188562,34758.98611222691
T1188563,42722.01455247066
T1188564,56006.944032589134
T1188565,39980.85681479277
T1188566,52716.484102571936
T1188567,57144.820196764784
T1188568,25853.872922563085
T1188569,44015.52897424549
T1188570,36991.460487950004
T1188571,29220.38734098924
T1188572,67529.67662176021
T1188573,36768.79139661423
T1188574,37960.00309292477
T1188575,39042.17390757956
T1188576,60037.084709953284
T1188577,41018.81327112182
T1188578,33958.089951540576
T1188579,35955.22873626096
T1188580,34574.887920305744
T1188581,38839.43366505156
T1188582,28498.201999543122
T1188583,32801.14504828158
T1188584,32094.782248819458
T1188585,83544.51617797863
T1188586,37180.12202013846
T1188587,55639.78937833938
T1188588,33686.355257195886
T1188589,32472.593217171096
T1188590,46446.51727936723
T1188591,31494.466760534793
T1188592,28352.92846900644
T1188593,25785.532137869042
T1188594,87085.20323600312
T1188595,31066.530808027797
T1188596,42770.618917328175
T1188597,125134.16181257062
T1188598,56509.09621516455
T1188599,63408.21336019074
